# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
0.0014166666666666666,0.0041666666666666666,1260,7
0.0014166666666666666,0.0044999999999999997,360,2
0.0014166666666666666,0.0048333333333333336,360,2
0.0014166666666666666,0.0051666666666666666,180,1
0.0014166666666666666,0.0054999999999999997,0,0
0.0014166666666666666,0.0058333333333333327,0,0
0.0014166666666666666,0.0061666666666666667,0,0
0.0014166666666666666,0.0064999999999999997,0,0
0.0014166666666666666,0.0068333333333333328,0,0
0.0014166666666666666,0.0071666666666666667,0,0
0.0014166666666666666,0.0074999999999999997,0,0
0.0014166666666666666,0.0078333333333333328,0,0
0.0014166666666666666,0.0081666666666666658,0,0
0.0014166666666666666,0.0084999999999999989,0,0
0.0014166666666666666,0.0088333333333333337,0,0
0.0014166666666666666,0.0091666666666666667,0,0
0.0014166666666666666,0.0094999999999999998,0,0
0.0014166666666666666,0.0098333333333333328,0,0
0.0014166666666666666,0.010166666666666666,0,0
0.0014166666666666666,0.010499999999999999,0,0
0.0014166666666666666,0.010833333333333334,0,0
0.0014166666666666666,0.011166666666666667,0,0
0.0014166666666666666,0.0115,0,0
0.0014166666666666666,0.011833333333333333,0,0
0.0014166666666666666,0.012166666666666666,0,0
0.0014166666666666666,0.012499999999999999,0,0
0.0014166666666666666,0.012833333333333334,0,0
0.0014166666666666666,0.013166666666666667,0,0
0.0014166666666666666,0.0135,0,0
0.0014166666666666666,0.013833333333333333,0,0
0.0014166666666666666,0.014166666666666666,0,0
0.0014166666666666666,0.014499999999999999,0,0
0.0014166666666666666,0.014833333333333332,0,0
0.0014166666666666666,0.015166666666666667,0,0
0.0014166666666666666,0.0155,0,0
0.0014166666666666666,0.015833333333333331,0,0
0.0014166666666666666,0.016166666666666666,0,0
0.0014166666666666666,0.016500000000000001,0,0
0.0014166666666666666,0.016833333333333332,0,0
0.0014166666666666666,0.017166666666666667,0,0
0.0014166666666666666,0.017499999999999998,0,0
0.0014166666666666666,0.017833333333333333,0,0
0.0014166666666666666,0.018166666666666668,0,0
0.0014166666666666666,0.018499999999999999,0,0
0.0014166666666666666,0.018833333333333334,0,0
0.0014166666666666666,0.019166666666666665,0,0
0.0014166666666666666,0.0195,0,0
0.0014166666666666666,0.019833333333333331,0,0
0.0015833333333333333,0.00016666666666666666,10980,61
0.0015833333333333333,0.00050000000000000001,26820,149
0.0015833333333333333,0.00083333333333333328,43740,243
0.0015833333333333333,0.0011666666666666665,52920,294
0.0015833333333333333,0.0015,56520,314
0.0015833333333333333,0.0018333333333333333,48960,272
0.0015833333333333333,0.0021666666666666666,38880,216
0.0015833333333333333,0.0025000000000000001,26460,147
0.0015833333333333333,0.0028333333333333331,15120,84
0.0015833333333333333,0.0031666666666666666,7560,42
0.0015833333333333333,0.0035000000000000001,5220,29
0.0015833333333333333,0.0038333333333333331,2700,15
0.0015833333333333333,0.0041666666666666666,1440,8
0.0015833333333333333,0.0044999999999999997,0,0
0.0015833333333333333,0.0048333333333333336,180,1
0.0015833333333333333,0.0051666666666666666,0,0
0.0015833333333333333,0.0054999999999999997,0,0
0.0015833333333333333,0.0058333333333333327,0,0
0.0015833333333333333,0.0061666666666666667,0,0
0.0015833333333333333,0.0064999999999999997,0,0
0.0015833333333333333,0.0068333333333333328,0,0
0.0015833333333333333,0.0071666666666666667,0,0
0.0015833333333333333,0.0074999999999999997,0,0
0.0015833333333333333,0.0078333333333333328,0,0
0.0015833333333333333,0.0081666666666666658,0,0
0.0015833333333333333,0.0084999999999999989,0,0
0.0015833333333333333,0.0088333333333333337,0,0
0.0015833333333333333,0.0091666666666666667,0,0
0.0015833333333333333,0.0094999999999999998,0,0
0.0015833333333333333,0.0098333333333333328,0,0
0.0015833333333333333,0.010166666666666666,0,0
0.0015833333333333333,0.010499999999999999,0,0
0.0015833333333333333,0.010833333333333334,0,0
0.0015833333333333333,0.011166666666666667,0,0
0.0015833333333333333,0.0115,0,0
0.0015833333333333333,0.011833333333333333,0,0
0.0015833333333333333,0.012166666666666666,0,0
0.0015833333333333333,0.012499999999999999,0,0
0.0015833333333333333,0.012833333333333334,0,0
0.0015833333333333333,0.013166666666666667,0,0
0.0015833333333333333,0.0135,0,0
0.0015833333333333333,0.013833333333333333,0,0
0.0015833333333333333,0.014166666666666666,0,0
0.0015833333333333333,0.014499999999999999,0,0
0.0015833333333333333,0.014833333333333332,0,0
0.0015833333333333333,0.015166666666666667,0,0
0.0015833333333333333,0.0155,0,0
0.0015833333333333333,0.015833333333333331,0,0
0.0015833333333333333,0.016166666666666666,0,0
0.0015833333333333333,0.016500000000000001,0,0
0.0015833333333333333,0.016833333333333332,0,0
0.0015833333333333333,0.017166666666666667,0,0
0.0015833333333333333,0.017499999999999998,0,0
0.0015833333333333333,0.017833333333333333,0,0
0.0015833333333333333,0.018166666666666668,0,0
0.0015833333333333333,0.018499999999999999,0,0
0.0015833333333333333,0.018833333333333334,0,0
